EPG名称,APP地址
ゴルフネットワークHD,P2p://starvod.xyz:19806/3c46558c36fa437684b2f4c18defeb46
时代剧専门チャンネル,P2p://starvod.xyz:19806/e1d26c70128145af8bf787fd41dbee4a
Music Japan TV,P2p://starvod.xyz:19806/9c8fb41f42fd4d03807379615d100bc8
キッズステーションHD,P2p://starvod.xyz:19806/b43773ee1e3046a59f93135bd6ce95c8
ディスカバリーチャンネル,P2p://starvod.xyz:19806/8e82f42c923e4dea95628a15cef59620
ナショナルジオグラフィック,P2p://starvod.xyz:19806/ea194966cc204e948380676e2f369486
日テレNEWS 24,P2p://147.135.39.171:9906/6724b127000db1d84c6d488634862dfc
旅チャンネル,P2p://starvod.xyz:19806/7d7a03deb5b4424dad809fcf07ec87f7
韩　国,#genre#
Arirang,P2p://starvod.xyz:19806/e57f0c11cb1f41b29405c396a15a8ece
KBS1,P2p://starvod.xyz:19806/0393e5caba1c49fc8ea30e18f1acc671
KBS2,P2p://starvod.xyz:19806/7a85a875daa44ac991c795667c9f8d7e
KBS Drama,P2p://starvod.xyz:19806/09ed2a3f637847af87937dc0467eb74d
KBS Joy,#N/A
SBS,P2p://starvod.xyz:19806/0c0fcf479ecb4d028fa445d80a3e35a3
SBS Biz,P2p://starvod.xyz:19806/06044fb3991c4c928566a72ebc24e9c8
JTBC,P2p://starvod.xyz:19806/6a88d79bd5174afcb66034750790a2f3
EBS,P2p://starvod.xyz:19806/997d3ba8fbc945839061a04bd9540934
YTN,P2p://starvod.xyz:19806/6d931bee08764b3aa0e47b95c564d6e2
Mnet,P2p://starvod.xyz:19806/692cd942d79748ce89dcf151650c0389
tvN,P2p://starvod.xyz:19806/d87daca68768436eb3d55e53f324505b
OCN,P2p://starvod.xyz:19806/9e64712fef4b41e780168b358487ad05
OCN Movies,#N/A
TV Chosun,P2p://starvod.xyz:19806/a22d48680f2546afa6f1e30583c3a25a
MBC,P2p://starvod.xyz:19806/eee065e978d44e28a77227cc8145783f
MBN,P2p://starvod.xyz:19806/86991df52bca4c0e842f3c9a4815d5c3
Tooniverse,P2p://starvod.xyz:19806/856744ee8364466f920cd437ae5a65f2
SPOTV,P2p://starvod.xyz:19806/2041f4ee5cec41d79ca86574d3ca30f5
JTBC GOLF,P2p://starvod.xyz:19806/519d5eac0b6a4007838ef0649bbb9a56
印　尼,#genre#
tvN Movies HD,P2p://starvod.xyz:19806/f400835a12764b11be20a0702c661a1b
泰　国,#genre#
Channel 5,P2p://starvod.xyz:19806/ffb289698d524851b96adddea960840c
NBT,P2p://starvod.xyz:19806/8348bfa50e7d468abc52656a2314de43
TNN 16,P2p://starvod.xyz:19806/d14897ca2cf44bea83ac554bbb23d07d
JKN 18,P2p://starvod.xyz:19806/1a8779a19dc647afbd75f6eaf82b3ef4
Voice TV,#N/A
Nation TV,P2p://starvod.xyz:19806/c286a12f1070407a956bdd8dc1ad9ee2
Workpoint TV,P2p://starvod.xyz:19806/ef8092c568cd4d7b9b1c7e64b0e398ac
true4U,P2p://starvod.xyz:19806/26d40d386edf4c99b93d70c478992420
GMM 25,P2p://starvod.xyz:19806/6554d880071d43bd98af1736624b33a7
Channel 8,P2p://starvod.xyz:19806/1439cd6678aa4e978d74a1855cf6eef7
Mono 29,P2p://starvod.xyz:19806/d84578e1a2bf40baa1b7c49b03cff182
MCOT,P2p://starvod.xyz:19806/9d11dd0a31c94e13941fb9561353999b
ONE,P2p://starvod.xyz:19806/888ec28084ce4fc2921091dacf57f75d
